time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-11-09T14:45:50.680Z,33.4835,-116.8021667,2.05,3.7,mw,135,12,0.02883,0.26,ci,ci38355352,2019-04-05T20:44:20.070Z,"7km NE of Aguanga, CA",earthquake,0.11,0.25,,4,reviewed,ci,ci
2018-11-09T14:45:28.630Z,33.4813333,-116.8018333,1.88,2.94,ml,136,21,0.03098,0.22,ci,ci38355344,2018-11-09T16:27:03.980Z,"7km NE of Aguanga, CA",earthquake,0.1,0.24,0.129,95,reviewed,ci,ci
2018-11-09T14:01:29.020Z,33.1963333,-115.6086667,3.8,2.53,ml,55,43,0.01759,0.25,ci,ci38355296,2018-11-09T22:04:07.738Z,"10km WSW of Niland, CA",earthquake,0.17,0.17,0.207,75,reviewed,ci,ci
2018-11-09T04:12:24.100Z,35.2266667,-118.8758333,14.06,2.98,ml,45,42,0.1064,0.19,ci,ci38354872,2019-01-21T16:42:59.040Z,"5km WNW of Arvin, CA",earthquake,0.18,0.41,0.14,101,reviewed,ci,ci
2018-11-08T23:47:38.590Z,36.4603333,-121.0425,4.98,2.72,md,68,78,0.04026,0.08,nc,nc73108516,2018-11-09T19:04:26.656Z,"12km SE of Pinnacles, CA",earthquake,0.1,0.34,0.2,83,reviewed,nc,nc
2018-11-08T17:16:50.040Z,33.7793333,-116.1338333,7.87,3.2,ml,119,34,0.07507,0.17,ci,ci38354328,2019-01-21T16:42:59.040Z,"10km NE of Indio, CA",earthquake,0.1,0.4,0.153,260,reviewed,ci,ci
2018-11-08T01:58:35.180Z,37.7951667,-121.6116667,15.61,2.78,md,87,37,0.03257,0.14,nc,nc73108236,2018-11-12T01:07:34.404Z,"6km WNW of Mountain House, CA",earthquake,0.17,0.26,0.127,77,reviewed,nc,nc
2018-11-07T06:24:40.440Z,33.4936667,-116.5148333,14.03,2.87,ml,117,26,0.06508,0.18,ci,ci38352440,2018-11-08T00:30:14.233Z,"16km ESE of Anza, CA",earthquake,0.11,0.19,0.222,25,reviewed,ci,ci
2018-11-06T19:28:11.480Z,37.7171667,-122.1216667,5.38,2.53,md,96,28,0.00723,0.11,nc,nc73107571,2019-02-13T03:53:45.343Z,"3km ESE of San Leandro, CA",earthquake,0.09,0.15,0.149,84,reviewed,nc,nc
2018-11-06T06:55:23.322Z,40.3268,-119.6852,3.8,2.8,ml,16,77.52,0.397,0.1466,nn,nn00664430,2019-01-21T16:42:55.040Z,"38km SW of Gerlach-Empire, Nevada",earthquake,,2.9,0.15,7,reviewed,nn,nn
2018-11-06T06:35:51.550Z,36.1476667,-118.0665,0.59,3.48,ml,32,76,0.1739,0.17,ci,ci38351080,2019-01-21T16:42:59.040Z,"16km NW of Coso Junction, CA",earthquake,0.18,0.5,0.14,302,reviewed,ci,ci
2018-11-06T04:19:54.520Z,40.3806667,-120.7603333,-1.21,2.51,md,30,90,0.1974,0.17,nc,nc73107306,2018-11-07T03:45:03.696Z,"10km WSW of Susanville, CA",earthquake,0.45,4.24,0.066,32,reviewed,nc,nc
